date,amount,category,subcategory,merchant,description,is_recurring
2023-04-13,28.05,Health,Supplements,Nutrition Store,Protein powder,0
2023-04-16,20.00,Food,Eating Out,Fast Food,Eating out,0
2023-04-17,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2023-04-18,21.51,Entertainment,Games,Steam/Store,Bought games,0
2023-04-21,40.00,Food,Groceries,Edeka,Groceries,0
2023-04-23,20.00,Food,Eating Out,Delivery,Eating out,0
2023-04-25,40.00,Food,Groceries,Kaufland,Groceries,0
2023-04-26,20.00,Food,Eating Out,Fast Food,Eating out,0
2023-04-30,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2023-05-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2023-05-01,30.00,Food,Groceries,Edeka,Groceries,0
2023-05-02,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2023-05-03,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2023-05-03,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2023-05-04,40.00,Health,Gym,Gym,Gym subscription,1
2023-05-05,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2023-05-06,62.28,Shopping,Clothes,Clothing Store,Bought clothes,0
2023-05-09,30.00,Food,Groceries,Edeka,Groceries,0
2023-05-10,26.67,Food,Eating Out,Delivery,Eating out,0
2023-05-11,26.67,Food,Eating Out,Cafe,Eating out,0
2023-05-14,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2023-05-17,30.00,Food,Groceries,Edeka,Groceries,0
2023-05-21,34.98,Health,Pharmacy,Pharmacy,Pharmacy/OTC,0
2023-05-25,30.00,Food,Groceries,REWE,Groceries,0
2023-05-29,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2023-05-30,18.39,Shopping,Books,Bookstore,Bought a book,0
2023-05-31,26.67,Food,Eating Out,Restaurant,Eating out,0
2023-06-01,40.00,Health,Gym,Gym,Gym subscription,1
2023-06-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2023-06-01,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2023-06-01,40.00,Food,Groceries,Lidl,Groceries,0
2023-06-03,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2023-06-03,45.38,Shopping,Books,Bookstore,Bought a book,0
2023-06-04,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2023-06-04,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2023-06-05,26.67,Food,Eating Out,Restaurant,Eating out,0
2023-06-09,40.00,Food,Groceries,Lidl,Groceries,0
2023-06-16,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2023-06-20,26.67,Food,Eating Out,Cafe,Eating out,0
2023-06-22,26.67,Food,Eating Out,Delivery,Eating out,0
2023-06-24,32.16,Health,Supplements,Nutrition Store,Protein powder,0
2023-06-25,40.00,Food,Groceries,Kaufland,Groceries,0
2023-06-27,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2023-06-29,38.48,Entertainment,Games,Steam/Store,Bought games,0
2023-07-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2023-07-01,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2023-07-03,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2023-07-04,40.00,Health,Gym,Gym,Gym subscription,1
2023-07-04,24.00,Food,Groceries,Aldi,Groceries,0
2023-07-07,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2023-07-07,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2023-07-07,16.00,Food,Eating Out,Restaurant,Eating out,0
2023-07-08,24.00,Food,Groceries,Aldi,Groceries,0
2023-07-08,16.00,Food,Eating Out,Fast Food,Eating out,0
2023-07-14,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2023-07-14,24.00,Food,Groceries,Lidl,Groceries,0
2023-07-21,52.65,Entertainment,Games,Steam/Store,Bought games,0
2023-07-23,24.00,Food,Groceries,Aldi,Groceries,0
2023-07-25,16.00,Food,Eating Out,Restaurant,Eating out,0
2023-07-26,24.00,Food,Groceries,Edeka,Groceries,0
2023-07-27,16.00,Food,Eating Out,Cafe,Eating out,0
2023-07-28,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2023-07-30,16.00,Food,Eating Out,Fast Food,Eating out,0
2023-08-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2023-08-01,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2023-08-01,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2023-08-03,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2023-08-03,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2023-08-03,40.00,Health,Gym,Gym,Gym subscription,1
2023-08-03,24.00,Food,Groceries,Lidl,Groceries,0
2023-08-07,24.00,Food,Groceries,Aldi,Groceries,0
2023-08-08,16.00,Food,Eating Out,Cafe,Eating out,0
2023-08-09,16.00,Food,Eating Out,Fast Food,Eating out,0
2023-08-14,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2023-08-16,24.00,Food,Groceries,REWE,Groceries,0
2023-08-17,16.00,Food,Eating Out,Restaurant,Eating out,0
2023-08-18,34.11,Health,Supplements,Nutrition Store,Protein powder,0
2023-08-22,53.88,Shopping,Books,Bookstore,Bought a book,0
2023-08-23,24.00,Food,Groceries,Lidl,Groceries,0
2023-08-26,24.00,Food,Groceries,REWE,Groceries,0
2023-08-26,45.06,Entertainment,Games,Steam/Store,Bought games,0
2023-08-28,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2023-08-29,16.00,Food,Eating Out,Cafe,Eating out,0
2023-08-31,16.00,Food,Eating Out,Cafe,Eating out,0
2023-09-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2023-09-01,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2023-09-02,40.00,Health,Gym,Gym,Gym subscription,1
2023-09-02,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2023-09-02,24.00,Food,Groceries,Lidl,Groceries,0
2023-09-04,13.33,Food,Eating Out,Cafe,Eating out,0
2023-09-05,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2023-09-06,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2023-09-06,13.33,Food,Eating Out,Fast Food,Eating out,0
2023-09-11,24.00,Food,Groceries,Aldi,Groceries,0
2023-09-14,24.00,Food,Groceries,REWE,Groceries,0
2023-09-15,13.33,Food,Eating Out,Delivery,Eating out,0
2023-09-16,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2023-09-23,13.33,Food,Eating Out,Fast Food,Eating out,0
2023-09-25,24.00,Food,Groceries,Edeka,Groceries,0
2023-09-25,13.33,Food,Eating Out,Restaurant,Eating out,0
2023-09-27,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2023-09-27,24.00,Food,Groceries,Aldi,Groceries,0
2023-09-27,13.33,Food,Eating Out,Fast Food,Eating out,0
2023-10-01,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2023-10-02,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2023-10-03,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2023-10-04,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2023-10-04,40.00,Health,Gym,Gym,Gym subscription,1
2023-10-04,24.00,Food,Groceries,Edeka,Groceries,0
2023-10-06,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2023-10-06,16.00,Food,Eating Out,Delivery,Eating out,0
2023-10-08,24.00,Food,Groceries,REWE,Groceries,0
2023-10-11,16.00,Food,Eating Out,Cafe,Eating out,0
2023-10-13,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2023-10-13,29.23,Health,Supplements,Nutrition Store,Protein powder,0
2023-10-16,24.00,Food,Groceries,Kaufland,Groceries,0
2023-10-17,16.00,Food,Eating Out,Cafe,Eating out,0
2023-10-19,16.00,Food,Eating Out,Delivery,Eating out,0
2023-10-25,24.00,Food,Groceries,Aldi,Groceries,0
2023-10-25,24.00,Food,Groceries,Lidl,Groceries,0
2023-10-25,53.72,Shopping,Books,Bookstore,Bought a book,0
2023-10-26,16.00,Food,Eating Out,Delivery,Eating out,0
2023-10-30,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2023-11-01,40.00,Health,Gym,Gym,Gym subscription,1
2023-11-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2023-11-01,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2023-11-01,24.00,Food,Groceries,Edeka,Groceries,0
2023-11-03,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2023-11-04,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2023-11-06,13.33,Food,Eating Out,Delivery,Eating out,0
2023-11-07,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2023-11-10,24.00,Food,Groceries,Aldi,Groceries,0
2023-11-11,13.33,Food,Eating Out,Delivery,Eating out,0
2023-11-14,32.53,Shopping,Books,Bookstore,Bought a book,0
2023-11-15,24.00,Food,Groceries,Aldi,Groceries,0
2023-11-17,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2023-11-17,13.33,Food,Eating Out,Fast Food,Eating out,0
2023-11-21,13.33,Food,Eating Out,Delivery,Eating out,0
2023-11-25,24.00,Food,Groceries,Edeka,Groceries,0
2023-11-26,24.00,Food,Groceries,Aldi,Groceries,0
2023-11-26,13.33,Food,Eating Out,Cafe,Eating out,0
2023-11-26,13.33,Food,Eating Out,Cafe,Eating out,0
2023-11-29,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2023-11-29,27.97,Health,Pharmacy,Pharmacy,Pharmacy/OTC,0
2023-12-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2023-12-02,40.00,Health,Gym,Gym,Gym subscription,1
2023-12-02,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2023-12-03,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2023-12-04,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2023-12-04,30.00,Food,Groceries,Kaufland,Groceries,0
2023-12-05,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2023-12-05,12.16,Health,Pharmacy,Pharmacy,Pharmacy/OTC,0
2023-12-07,30.00,Food,Groceries,Edeka,Groceries,0
2023-12-12,13.33,Food,Eating Out,Delivery,Eating out,0
2023-12-12,13.33,Food,Eating Out,Restaurant,Eating out,0
2023-12-13,29.40,Health,Supplements,Nutrition Store,Protein powder,0
2023-12-15,13.33,Food,Eating Out,Cafe,Eating out,0
2023-12-17,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2023-12-18,30.00,Food,Groceries,Kaufland,Groceries,0
2023-12-19,13.33,Food,Eating Out,Restaurant,Eating out,0
2023-12-25,30.00,Food,Groceries,REWE,Groceries,0
2023-12-27,13.33,Food,Eating Out,Restaurant,Eating out,0
2023-12-28,13.33,Food,Eating Out,Delivery,Eating out,0
2023-12-30,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2024-01-01,40.00,Health,Gym,Gym,Gym subscription,1
2024-01-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2024-01-01,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2024-01-01,41.20,Food,Groceries,Kaufland,Groceries,0
2024-01-03,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2024-01-03,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2024-01-05,27.47,Food,Eating Out,Fast Food,Eating out,0
2024-01-07,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2024-01-08,41.20,Food,Groceries,REWE,Groceries,0
2024-01-17,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2024-01-21,27.47,Food,Eating Out,Delivery,Eating out,0
2024-01-21,69.32,Shopping,Clothes,Clothing Store,Bought clothes,0
2024-01-25,27.47,Food,Eating Out,Fast Food,Eating out,0
2024-01-27,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2024-01-27,41.20,Food,Groceries,Kaufland,Groceries,0
2024-01-31,28.95,Entertainment,Games,Steam/Store,Bought games,0
2024-02-01,40.00,Health,Gym,Gym,Gym subscription,1
2024-02-02,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2024-02-02,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2024-02-04,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2024-02-04,20.60,Food,Groceries,Kaufland,Groceries,0
2024-02-05,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2024-02-06,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2024-02-10,20.60,Food,Groceries,Aldi,Groceries,0
2024-02-10,16.48,Food,Eating Out,Restaurant,Eating out,0
2024-02-10,25.72,Shopping,Books,Bookstore,Bought a book,0
2024-02-11,16.48,Food,Eating Out,Delivery,Eating out,0
2024-02-14,20.60,Food,Groceries,Edeka,Groceries,0
2024-02-17,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2024-02-19,16.48,Food,Eating Out,Cafe,Eating out,0
2024-02-19,29.30,Entertainment,Games,Steam/Store,Bought games,0
2024-02-23,20.60,Food,Groceries,Lidl,Groceries,0
2024-02-23,32.67,Health,Supplements,Nutrition Store,Protein powder,0
2024-02-24,16.48,Food,Eating Out,Delivery,Eating out,0
2024-02-26,16.48,Food,Eating Out,Delivery,Eating out,0
2024-02-28,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2024-02-28,20.60,Food,Groceries,Lidl,Groceries,0
2024-03-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2024-03-01,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2024-03-01,88.50,Shopping,Clothes,Clothing Store,Bought clothes,0
2024-03-02,30.90,Food,Groceries,Kaufland,Groceries,0
2024-03-03,40.00,Health,Gym,Gym,Gym subscription,1
2024-03-03,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2024-03-05,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2024-03-05,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2024-03-05,20.60,Food,Eating Out,Restaurant,Eating out,0
2024-03-13,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2024-03-15,31.24,Shopping,Books,Bookstore,Bought a book,0
2024-03-18,30.90,Food,Groceries,Kaufland,Groceries,0
2024-03-21,20.60,Food,Eating Out,Fast Food,Eating out,0
2024-03-23,30.90,Food,Groceries,REWE,Groceries,0
2024-03-24,20.60,Food,Eating Out,Delivery,Eating out,0
2024-03-26,30.90,Food,Groceries,Aldi,Groceries,0
2024-03-26,20.60,Food,Eating Out,Cafe,Eating out,0
2024-03-27,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2024-03-28,34.90,Entertainment,Games,Steam/Store,Bought games,0
2024-04-01,40.00,Health,Gym,Gym,Gym subscription,1
2024-04-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2024-04-02,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2024-04-02,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2024-04-02,30.90,Food,Groceries,Kaufland,Groceries,0
2024-04-03,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2024-04-03,54.10,Shopping,Clothes,Clothing Store,Bought clothes,0
2024-04-07,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2024-04-09,27.47,Food,Eating Out,Cafe,Eating out,0
2024-04-09,29.49,Health,Pharmacy,Pharmacy,Pharmacy/OTC,0
2024-04-10,27.47,Food,Eating Out,Fast Food,Eating out,0
2024-04-13,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2024-04-17,30.90,Food,Groceries,Aldi,Groceries,0
2024-04-20,29.35,Health,Supplements,Nutrition Store,Protein powder,0
2024-04-23,42.97,Shopping,Books,Bookstore,Bought a book,0
2024-04-23,24.86,Entertainment,Games,Steam/Store,Bought games,0
2024-04-25,30.90,Food,Groceries,Kaufland,Groceries,0
2024-04-25,30.90,Food,Groceries,Kaufland,Groceries,0
2024-04-25,27.47,Food,Eating Out,Restaurant,Eating out,0
2024-04-28,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2024-05-01,40.00,Health,Gym,Gym,Gym subscription,1
2024-05-02,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2024-05-02,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2024-05-02,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2024-05-03,30.90,Food,Groceries,Aldi,Groceries,0
2024-05-04,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2024-05-04,27.47,Food,Eating Out,Restaurant,Eating out,0
2024-05-06,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2024-05-10,30.90,Food,Groceries,Aldi,Groceries,0
2024-05-11,27.47,Food,Eating Out,Restaurant,Eating out,0
2024-05-15,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2024-05-17,138.74,Gifts,Gift,Gift Shop,Gift purchase,0
2024-05-18,30.90,Food,Groceries,Kaufland,Groceries,0
2024-05-19,18.62,Health,Pharmacy,Pharmacy,Pharmacy/OTC,0
2024-05-24,30.90,Food,Groceries,Edeka,Groceries,0
2024-05-27,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2024-05-28,27.47,Food,Eating Out,Fast Food,Eating out,0
2024-06-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2024-06-01,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2024-06-02,40.00,Health,Gym,Gym,Gym subscription,1
2024-06-02,24.72,Food,Groceries,Aldi,Groceries,0
2024-06-03,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2024-06-03,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2024-06-06,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2024-06-06,26.30,Entertainment,Games,Steam/Store,Bought games,0
2024-06-06,32.82,Health,Supplements,Nutrition Store,Protein powder,0
2024-06-09,24.72,Food,Groceries,REWE,Groceries,0
2024-06-10,27.47,Food,Eating Out,Fast Food,Eating out,0
2024-06-14,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2024-06-17,24.72,Food,Groceries,Kaufland,Groceries,0
2024-06-21,24.72,Food,Groceries,Kaufland,Groceries,0
2024-06-21,27.47,Food,Eating Out,Cafe,Eating out,0
2024-06-21,133.03,Gifts,Gift,Gift Shop,Gift purchase,0
2024-06-23,37.92,Shopping,Books,Bookstore,Bought a book,0
2024-06-26,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2024-06-27,33.36,Health,Pharmacy,Pharmacy,Pharmacy/OTC,0
2024-06-28,24.72,Food,Groceries,Edeka,Groceries,0
2024-06-28,27.47,Food,Eating Out,Restaurant,Eating out,0
2024-07-02,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2024-07-02,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2024-07-02,20.60,Food,Groceries,Kaufland,Groceries,0
2024-07-03,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2024-07-03,40.00,Health,Gym,Gym,Gym subscription,1
2024-07-03,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2024-07-04,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2024-07-05,13.73,Food,Eating Out,Fast Food,Eating out,0
2024-07-09,20.60,Food,Groceries,REWE,Groceries,0
2024-07-10,13.73,Food,Eating Out,Cafe,Eating out,0
2024-07-11,13.73,Food,Eating Out,Delivery,Eating out,0
2024-07-16,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2024-07-16,20.60,Food,Groceries,Aldi,Groceries,0
2024-07-17,399.51,Shopping,Electronics,Electronics Store,Electronics purchase,0
2024-07-22,13.73,Food,Eating Out,Delivery,Eating out,0
2024-07-25,20.60,Food,Groceries,Kaufland,Groceries,0
2024-07-26,13.73,Food,Eating Out,Delivery,Eating out,0
2024-07-27,13.73,Food,Eating Out,Delivery,Eating out,0
2024-07-28,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2024-07-28,20.60,Food,Groceries,Lidl,Groceries,0
2024-08-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2024-08-01,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2024-08-02,20.60,Food,Groceries,Edeka,Groceries,0
2024-08-03,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2024-08-03,40.00,Health,Gym,Gym,Gym subscription,1
2024-08-03,133.11,Gifts,Gift,Gift Shop,Gift purchase,0
2024-08-04,13.73,Food,Eating Out,Restaurant,Eating out,0
2024-08-05,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2024-08-05,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2024-08-08,13.73,Food,Eating Out,Cafe,Eating out,0
2024-08-11,20.60,Food,Groceries,REWE,Groceries,0
2024-08-13,13.73,Food,Eating Out,Fast Food,Eating out,0
2024-08-14,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2024-08-14,13.73,Food,Eating Out,Restaurant,Eating out,0
2024-08-15,13.73,Food,Eating Out,Delivery,Eating out,0
2024-08-18,20.60,Food,Groceries,REWE,Groceries,0
2024-08-20,13.73,Food,Eating Out,Delivery,Eating out,0
2024-08-22,20.60,Food,Groceries,Aldi,Groceries,0
2024-08-22,22.70,Entertainment,Games,Steam/Store,Bought games,0
2024-08-24,29.87,Health,Supplements,Nutrition Store,Protein powder,0
2024-08-26,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2024-08-26,20.60,Food,Groceries,REWE,Groceries,0
2024-09-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2024-09-01,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2024-09-03,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2024-09-03,40.00,Health,Gym,Gym,Gym subscription,1
2024-09-03,24.72,Food,Groceries,REWE,Groceries,0
2024-09-05,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2024-09-05,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2024-09-08,24.72,Food,Groceries,Edeka,Groceries,0
2024-09-11,13.73,Food,Eating Out,Cafe,Eating out,0
2024-09-15,12.02,Entertainment,Games,Steam/Store,Bought games,0
2024-09-16,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2024-09-18,24.72,Food,Groceries,Aldi,Groceries,0
2024-09-19,13.73,Food,Eating Out,Fast Food,Eating out,0
2024-09-23,13.73,Food,Eating Out,Fast Food,Eating out,0
2024-09-23,13.73,Food,Eating Out,Fast Food,Eating out,0
2024-09-25,24.72,Food,Groceries,Aldi,Groceries,0
2024-09-25,13.73,Food,Eating Out,Cafe,Eating out,0
2024-09-26,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2024-09-27,24.72,Food,Groceries,REWE,Groceries,0
2024-09-28,13.73,Food,Eating Out,Cafe,Eating out,0
